id,quote,image,tag,likes,author
101,"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",https://images.gr-assets.com/authors/1468247396p2/2345.jpg,love,23751,Nicholas Sparks
102,You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.,https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,self-determination,23587,John Green
103,Sometimes people are beautiful.,https://images.gr-assets.com/authors/1537240528p2/11466.jpg,life,23497,Markus Zusak
104,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",https://images.gr-assets.com/authors/1193930952p2/61105.jpg,reading,23474,Dr. Seuss
105,Folks are usually about as happy as they make their minds up to be.,https://images.gr-assets.com/authors/1198518158p2/229.jpg,happiness,23251,Abraham Lincoln
106,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",https://images.gr-assets.com/authors/1207771636p2/25241.jpg,friendship,23204,Bob Marley
107,"Love looks not with the eyes, but with the mind,",https://images.gr-assets.com/authors/1424313573p2/947.jpg,love,23007,William Shakespeare
108,"One good thing about music, when it hits you, you feel no pain.",https://images.gr-assets.com/authors/1207771636p2/25241.jpg,music,22941,Bob Marley
109,"Do what you can, with what you have, where you are.",https://images.gr-assets.com/quotes/1359838481p2/188.jpg,inspirational,22901,Theodore Roosevelt
110,There is no friend as loyal as a book.,https://images.gr-assets.com/authors/1574217836p2/1455.jpg,friends,22486,Ernest Hemingway
111,Not all of us can do great things. But we can do small things with great love.,https://images.gr-assets.com/authors/1263888735p2/838305.jpg,paraphrased,22477,Mother Teresa
112,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.",https://images.gr-assets.com/authors/1198590177p2/43244.jpg,humor,22319,Groucho Marx
113,"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",,misattributed-a-a-milne,22300,Joan Powers
114,"Love is like the wind, you can't see it but you can feel it.",https://images.gr-assets.com/authors/1468247396p2/2345.jpg,simile,22159,Nicholas Sparks
115,"Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.",https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,nerdfighters,22122,John Green
116,"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",https://images.gr-assets.com/authors/1201029128p2/435477.jpg,hope,22082,Shel Silverstein
117,The story so far:,https://images.gr-assets.com/authors/1189120061p2/4.jpg,scifi,21965,Douglas Adams
118,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",https://images.gr-assets.com/authors/1266096039p2/7275.jpg,inspirational,21895,Helen Keller
119,"Success is not final, failure is not fatal: it is the courage to continue that counts.",https://images.gr-assets.com/authors/1306133803p2/14033.jpg,courage,21671,Winston S. Churchill
120,"It matters not what someone is born, but what they grow to be.",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,dumbledore,21650,J.K. Rowling
121,"People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life.",https://images.gr-assets.com/authors/1440718929p2/11679.jpg,love,21585,Elizabeth Gilbert
122,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",https://images.gr-assets.com/authors/1529690296p2/7128.jpg,love,21399,Jodi Picoult
123,The difference between genius and stupidity is: genius has its limits.,https://images.gr-assets.com/authors/1457825404p2/3186713.jpg,misattributed-to-einstein,21375,Alexandre Dumas-fils
124,You dont,https://images.gr-assets.com/authors/1339680458p2/6025722.jpg,misattributed-to-c-s-lewis,21313,Walter M. Miller Jr.
125,"Life is like riding a bicycle. To keep your balance, you must keep moving.",https://images.gr-assets.com/authors/1429114964p2/9810.jpg,simile,21238,Albert Einstein
126,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",https://images.gr-assets.com/authors/1199070302p2/12898.jpg,favourite-books,21182,Stephen Chbosky
127,"If you can make a woman laugh, you can make her do anything.",https://images.gr-assets.com/authors/1436929110p2/82952.jpg,girls,21157,Marilyn Monroe
128,"Were all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdnessand call it lovetrue love.",https://images.gr-assets.com/authors/1535564306p2/19630.jpg,weirdness,21061,Robert Fulghum
129,Some people never go crazy. What truly horrible lives they must lead.,https://images.gr-assets.com/authors/1501509674p2/13275.jpg,humor,20936,Charles Bukowski
130,"I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.",https://images.gr-assets.com/authors/1419596619p2/6765.jpg,women,20936,Virginia Woolf
131,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",https://images.gr-assets.com/authors/1380085320p2/1265.jpg,love,20905,Jane Austen
132,Some infinities are bigger than other infinities.,https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,john-green,20880,John Green
133,"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",https://images.gr-assets.com/authors/1468617897p2/7190.jpg,love,20835,Anais Nin
134,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",https://images.gr-assets.com/authors/1288777679p2/819789.jpg,books,20672,J.D. Salinger
135,Do one thing every day that scares you.,https://images.gr-assets.com/quotes/1381874709p2/25106.jpg,fear,20640,Eleanor Roosevelt
136,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",https://images.gr-assets.com/authors/1235562205p2/1654.jpg,open-mind,20394,Terry Pratchett
137,It is what you read when you don't have to that determines what you will be when you can't help it.,https://images.gr-assets.com/authors/1521044377p2/3565.jpg,reading,20356,Oscar Wilde
138,Time you enjoy wasting is not wasted time.,,misattributed-john-lennon,20249,Marthe Troly-Curtin
139,If I had a flower for every time I thought of you...I could walk through my garden forever.,https://images.gr-assets.com/authors/1454788521p2/13638502.jpg,love,20185,Alfred Tennyson
140,Reality continues to ruin my life.,https://images.gr-assets.com/authors/1374016829p2/13778.jpg,humor,19980,Bill Watterson
141,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,https://images.gr-assets.com/authors/1436929110p2/82952.jpg,love,19913,Marilyn Monroe
142,Who are you to judge the life I live?,https://images.gr-assets.com/authors/1207771636p2/25241.jpg,life,19884,Bob Marley
143,Not all those who wander are lost.,https://images.gr-assets.com/authors/1564399522p2/656983.jpg,journey,19863,J.R.R. Tolkien
144,"There is no pretending, Jace said with absolute clarity. I love you, and I will love you until I die, and if there is life after that, I'll love you then.",https://images.gr-assets.com/authors/1270502031p2/150038.jpg,romance,19851,Cassandra Clare
145,Things change. And friends leave. Life doesn't stop for anybody.,https://images.gr-assets.com/authors/1199070302p2/12898.jpg,life,19800,Stephen Chbosky
146,"He's like a drug for you, Bella.",https://images.gr-assets.com/authors/1477924095p2/941441.jpg,romance,19589,Stephenie Meyer
147,Piglet sidled up to Pooh from behind.,https://images.gr-assets.com/authors/1204664899p2/81466.jpg,piglet,19581,A.A. Milne
148,"One must always be careful of books, said Tessa, and what is inside them, for words have the power to change us.",https://images.gr-assets.com/authors/1270502031p2/150038.jpg,books,19501,Cassandra Clare
149,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",https://images.gr-assets.com/authors/1436929110p2/82952.jpg,attributed-no-source,19380,Marilyn Monroe
150,The only way out of the labyrinth of suffering is to forgive.,https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,life,19300,John Green
151,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,live-death-love,19214,J.K. Rowling
